$W$$N$	GENE	11849
$W$ - $W$	GENE	2959
$W$ - $N$	GENE	2844
$W$$N$	Chemical	2239
$W$ - $W$	Chemical	1789
$W$$N$$W$	GENE	1438
$W$$N$ $W$	GENE	1339
$W$ - $W$ $W$	GENE	1118
$N$ - $W$	Chemical	986
$W$ - $N$ $W$	GENE	892
$W$$N$$W$$N$	GENE	691
$W$ - $N$	Chemical	679
$W$ $W$$N$	GENE	664
$W$ ( $N$ )	Chemical	533
$W$ ( $N$ + )	Chemical	522
$W$ ( $W$ )	Chemical	406
$W$ - $W$ $W$ $W$	GENE	383
( $N$ ) $W$	Chemical	316
$W$ - $W$ $W$	Chemical	274
$W$ $N$	GENE	266
$W$$N$$W$	Chemical	265
$W$$N$$W$$N$	Chemical	258
$W$$N$ $W$ $W$	GENE	254
$W$ $W$ - $W$ $W$	GENE	250
$W$ ( + )	Chemical	236
$W$ $N$	Chemical	230
$W$ $W$$N$	Chemical	194
$W$ - $N$$W$	GENE	185
$W$ - $W$ - $W$	Chemical	182
$W$ $W$ $N$	GENE	173
$N$$W$	Chemical	169
$W$$N$$W$ $W$	GENE	167
$W$ $W$$N$ $W$	GENE	163
$N$ , $N$ - $W$	Chemical	163
$W$ - $W$$N$	GENE	159
$W$ $W$ - $W$	GENE	148
$W$ - $W$ $N$	GENE	146
$W$ ( $N$ ) $W$ ( $N$ )	Chemical	136
$W$ $W$ - $N$	GENE	135
$N$ - $W$ - $W$	Chemical	134
$N$$W$$N$	GENE	134
$W$ $W$ $W$$N$	GENE	128
$W$$N$ +	Chemical	126
$W$ $W$ $W$ $N$	GENE	125
$W$$N$$W$$N$ $W$	GENE	117
$W$$N$ / $N$	GENE	117
$W$ $W$ $W$ - $W$	GENE	114
$N$ $W$ - $W$	Chemical	113
$N$ - $W$ $W$	Chemical	111
$W$ $W$ $W$ - $N$	GENE	107
$W$$N$ - $W$	GENE	106
$W$ $W$ - $W$	Chemical	106
$W$ +	Chemical	104
$W$ $N$ - $W$	GENE	98
$W$ - $N$ - $W$	Chemical	95
$W$$N$ - $N$	GENE	88
$W$ / $W$ $W$	GENE	84
$N$ - $W$ - $N$ - $W$	Chemical	84
$W$ - $W$ - $W$ - $W$	Chemical	83
( - ) - $W$	Chemical	81
$W$ ( $W$ $W$ )	Chemical	80
$W$ - $W$ $W$ $W$ $W$	GENE	78
